key,term
oop.debates_SOC2501,"5,6,394,395"
oop.debates_CDC2405_03,"1,9,251,252"
oop.debates_CDC2801_10,"1,9,380,428"
oop.debates_CDC1806_03,"1,9,347,348"
oop.debates_SOC2803,"5,6,292,561"
oop.debates_SOC1204,"5,6,243,342"
oop.debates_HOC2701_20,"5,12,384,508"
oop.debates_HOC1102_03,"5,12,458,679"
oop.debates_CDC3402_09,"1,9,23,28"
oop.debates_HOC1001_04,"5,12,273,377"
oop.debates_HOC1303_02,"5,12,229,230"
oop.debates_HOC2602_06,"5,12,295,518"
oop.debates_HOC1302_01,"5,12,229,307"
oop.debates_SDC2104_01,"1,2,368,479"
oop.debates_HOC2203_04,"5,12,247,268"
oop.debates_SDC0805_08,"1,2,3,143"
oop.debates_SDC1204,"1,2,279,567"
oop.debates_HOC1102_05,"5,12,458,679"
oop.debates_HOC1103_02,"5,12,458,522"
oop.debates_CDC2802_07,"1,9,380,381"
oop.debates_HOC2402_05,"5,12,310,481"
oop.debates_HOC0403,"5,12,25,103"
oop.debates_HOC3201_12,"5,12,333,334"
oop.debates_CDC3004_04,"1,9,396,519"
oop.debates_SOC2701_02,"5,6,467,550"
oop.debates_HOC2201_01,"5,12,247,601"
oop.debates_CDC2002_04,"1,9,504,683"
oop.debates_CDC3302_08,"1,9,609,610"
oop.debates_HOC3002_04,"5,12,349,576"
oop.debates_CDC1101,"1,9,365,627"
oop.debates_HOC1905_20,"5,12,337,495"
oop.debates_HOC2104_05,"5,12,327,605"
oop.debates_CDC2701_01,"1,9,284,320"
oop.debates_SOC3402_02,"5,6,29,30"
oop.debates_HOC1305,"5,12,229,635"
oop.debates_CDC1702_04,"1,9,286,456"
oop.debates_SOC2104_01,"5,6,271,323"
oop.debates_CDC0601_01,"1,9,67,165"
oop.debates_HOC3201_17,"5,12,333,334"
oop.debates_CDC3001_12,"1,9,396,397"
oop.debates_SDC3403_01,"1,2,193,221"
oop.debates_HOC3501_06,"5,12,93,94"
oop.debates_HOC2701_02,"5,12,384,508"
oop.debates_HOC1602_20,"5,12,343,344"
oop.debates_CDC3301_06,"1,9,609,663"
oop.debates_HOC3201_13,"5,12,333,334"
oop.debates_CDC2301_03,"1,9,471,472"
oop.debates_CDC1802_20,"1,9,237,482"
oop.debates_SDC1201,"1,2,279,599"
oop.debates_SOC2403_01,"5,6,407,417"
oop.debates_CDC2401_20,"1,9,251,632"
oop.debates_CDC3403_16,"1,9,23,24"
oop.debates_HOC1103_03,"5,12,458,522"
oop.debates_HOC2203_07,"5,12,247,268"
oop.debates_CDC1202_06,"1,9,308,623"
oop.debates_CDC3001_06,"1,9,396,397"
oop.debates_HOC2203_06,"5,12,247,268"
oop.debates_SOC0902,"5,6,32,208"
oop.debates_CDC0904_03,"1,9,144,156"
oop.debates_HOC1902_03,"5,12,337,379"
oop.debates_HOC0705_02,"5,12,70,150"
oop.debates_HOC1201_02,"5,12,370,413"
oop.debates_CDC1601_02,"1,9,351,352"
oop.debates_HOC1304_05,"5,12,229,551"
oop.debates_SOC3201_03,"5,6,510,659"
oop.debates_HOC3501_08,"5,12,93,94"
oop.debates_HOC0704_01,"5,12,70,107"
oop.debates_SDC2201_01,"1,2,313,461"
oop.debates_CDC0401,"1,9,44,125"
oop.debates_HOC3001_12,"5,12,349,362"
oop.debates_CDC3101,"1,9,552,553"
oop.debates_SDC2501_01,"1,2,414,415"
oop.debates_SOC0502,"5,6,99,100"
oop.debates_HOC1003_02,"5,12,273,431"
oop.debates_SOC1403,"5,6,463,513"
oop.debates_HOC3302_15,"5,12,358,359"
oop.debates_HOC1304,"5,12,229,551"
oop.debates_HOC1603_20,"5,12,343,500"
oop.debates_HOC2901_07,"5,12,476,565"
oop.debates_SDC1903,"1,2,449,450"
oop.debates_HOC3101_20,"5,12,554,555"
oop.debates_SDC1704_01,"1,2,410,411"
oop.debates_CDC2107_04,"1,9,299,612"
oop.debates_HOC0805,"5,12,21,182"
oop.debates_HOC1404_03,"5,12,256,332"
oop.debates_CDC1604,"1,9,351,547"
oop.debates_SDC3403_03,"1,2,193,221"
oop.debates_HOC0602,"5,12,17,162"
oop.debates_CDC1905_02,"1,9,347,598"
oop.debates_HOC1203_05,"5,12,370,435"
oop.debates_HOC2501,"5,12,386,387"
oop.debates_CDC3301_02,"1,9,609,663"
oop.debates_SOC1401_01,"5,6,463,464"
oop.debates_CDC2403_02,"1,9,251,647"
oop.debates_CDC1704_05,"1,9,286,662"
oop.debates_SOC2701,"5,6,467,550"
oop.debates_SOC2602_01,"5,6,227,523"
oop.debates_HOC1501_01,"5,12,401,402"
oop.debates_SOC2702,"5,6,467,468"
oop.debates_CDC2201_06,"1,9,356,473"
oop.debates_CDC1804_20,"1,9,237,652"
oop.debates_HOC2901_02,"5,12,476,565"
oop.debates_CDC3402_02,"1,9,23,28"
oop.debates_SOC3202,"5,6,510,511"
oop.debates_CDC1903_01,"1,9,347,531"
oop.debates_CDC2802_06,"1,9,380,381"
oop.debates_SOC3302,"5,6,439,440"
oop.debates_CDC1604_03,"1,9,351,547"
oop.debates_SOC0202,"5,6,174,175"
oop.debates_HOC0902_02,"5,12,117,118"
oop.debates_SOC2101,"5,6,271,412"
oop.debates_SDC3301,"1,2,404,409"
oop.debates_SDC1704,"1,2,410,411"
oop.debates_HOC1501,"5,12,401,402"
oop.debates_CDC0801_08,"1,9,96,147"
oop.debates_CDC0604_02,"1,9,67,190"
oop.debates_SOC2005,"5,6,277,403"
oop.debates_SOC3403_01,"5,6,29,214"
oop.debates_CDC1801_01,"1,9,237,353"
oop.debates_HOC2105_20,"5,12,327,416"
oop.debates_SOC2802_02,"5,6,292,294"
oop.debates_CDC1403_01,"1,9,241,242"
oop.debates_HOC0201_01,"5,12,80,81"
oop.debates_HOC2107_04,"5,12,327,328"
oop.debates_CDC2202_20,"1,9,356,541"
oop.debates_SDC3201_03,"1,2,264,265"
oop.debates_CDC1301_01,"1,9,372,558"
oop.debates_HOC1404_01,"5,12,256,332"
oop.debates_HOC3002_07,"5,12,349,576"
oop.debates_HOC1102_01,"5,12,458,679"
oop.debates_CDC1205,"1,9,308,501"
oop.debates_HOC2801_05,"5,12,245,246"
oop.debates_CDC1902_04,"1,9,347,669"
oop.debates_HOC0901,"5,12,117,180"
oop.debates_HOC1905_03,"5,12,337,495"
oop.debates_CDC3201_25,"1,9,491,521"
oop.debates_HOC0805_01,"5,12,21,182"
oop.debates_CDC3001,"1,9,396,397"
oop.debates_SDC2501,"1,2,414,415"
oop.debates_SDC0803,"1,2,3,133"
oop.debates_CDC2405_20,"1,9,251,252"
oop.debates_HOC1702_01,"5,12,261,653"
oop.debates_HOC2101_20,"5,12,327,340"
oop.debates_SDC0802,"1,2,3,91"
oop.debates_CDC0603,"1,9,67,169"
oop.debates_CDC1004_06,"1,9,249,436"
oop.debates_CDC1207_05,"1,9,308,629"
oop.debates_CDC3302_10,"1,9,609,610"
oop.debates_HOC3101_01,"5,12,554,555"
oop.debates_HOC2002_04,"5,12,302,604"
oop.debates_CDC0803,"1,9,96,152"
oop.debates_HOC1703,"5,12,261,668"
oop.debates_SOC2902_01,"5,6,441,442"
oop.debates_HOC3402_20,"5,12,15,159"
oop.debates_HOC1905_05,"5,12,337,495"
