b2650794,"b2650794,CA1 EA10 92T20 EXF"
b4083933E,"b4083933E,CA1 EA 2005I52 EXF"
b3692358E,"b3692358E,CA1 EA208 95F21 ENG"
b2373129,"b2373129,CA1 EA730 91P33 ENG"
sas_19570509EP,sas_19570509EP
sas_19900406AFP,sas_19900406AFP
sas_1984FIndexP,sas_1984FIndexP
b4240455,"b4240455,CA1 EA10 2007T14 EXF"
sas_19750509AEP,sas_19750509AEP
b2195252F_001,b2195252F_001
sas_19490519EP,sas_19490519EP
sas_19531027ES,sas_19531027ES
b3103274,"b3103274,CA1 EA10 72T25 EXF"
sas_19660321ES,sas_19660321ES
sas_19940125ESt,sas_19940125ESt
b2050535E,"b2050535E,CA1 EA C55 EXF"
sas_19890402FP,sas_19890402FP
sas_19810902BEP,sas_19810902BEP
sas_19901106BFP,sas_19901106BFP
b2345389F,"b2345389F,CA1 EA435 90E08 EXF"
b4153054F,"b4153054F,CA1 EA 2007I57 EXF"
b2802867F_001,b2802867F_001
b3717367E,"b3717367E,CA1 EA R27 EXF"
sas_19710222FP,sas_19710222FP
b2653564E,"b2653564E,CA1 EA 94P27 EXF"
b4243109,"b4243109,CA1 EA10 2008T07 EXF"
sas_19900419AFP,sas_19900419AFP
sas_19831107FP,sas_19831107FP
sas_19741127FS,sas_19741127FS
sas_197500004ES,sas_197500004ES
sas_19480409ES,sas_19480409ES
b1643897,"b1643897,CA1 EA11 65P02 ENG"
sas_19560924AEP,sas_19560924AEP
b2580937E,"b2580937E,CA1 EA 93C19 ENG"
sas_19490414EP,sas_19490414EP
sas_19950505BEP,sas_19950505BEP
b2190473E,"b2190473E,CA1 EA77 88T52 EXF"
b1956802E,"b1956802E,CA1 EA 84M35 EXF"
sas_19920531EP,sas_19920531EP
sas_19821119EP,sas_19821119EP
sas_19791116AFP,sas_19791116AFP
sas_19730302AEP,sas_19730302AEP
sas_19930422BEP,sas_19930422BEP
b1642509,"b1642509,CA1 EA11 55P05 ENG"
sas_19930514AFP,sas_19930514AFP
sas_19891020EP,sas_19891020EP
sas_19930125AEP,sas_19930125AEP
sas_19800625AEP,sas_19800625AEP
b302975x,"b302975x,CA1 EA10 74T22 EXF"
b1939221E_001,b1939221E_001
sas_19860227ESt,sas_19860227ESt
b300885x,"b300885x,CA1 EA10 70T09 EXF"
sas_19911122AEP,sas_19911122AEP
sas_19640918EP,sas_19640918EP
sas_19851003BEP,sas_19851003BEP
sas_19860624ESt,sas_19860624ESt
sas_19691200FS,sas_19691200FS
sas_19910724EP,sas_19910724EP
sas_19740211EP,sas_19740211EP
sas_19831101ES,sas_19831101ES
b3476182F_001,b3476182F_001
sas_19500424BEP,sas_19500424BEP
sas_19490426EP,sas_19490426EP
b1634033,"b1634033,CA1 EA10 49T22 EXF"
b2397468,"b2397468,CA1 EA10 90T46 EXF"
b2430976E,"b2430976E,CA1 EA674 92E83 ENG"
sas_19941129FP,sas_19941129FP
sas_19721116EP,sas_19721116EP
sas_19931222BEP,sas_19931222BEP
b2363409F,"b2363409F,CA1 EA660 90R24 EXF"
sas_19830131FP,sas_19830131FP
b3570460E,"b3570460E,CA1 EA 58D22 ENG"
b3576218,"b3576218,CA1 EA10 2001T32 EXF"
b2465346Ev1,"b2465346Ev1,CA1 EA360 83C45 ENG"
sas_19880413AES,sas_19880413AES
b1891856F,"b1891856F,CA1 EA675 81A77 FRE"
b2670033,"b2670033,CA1 EA917 94A37 FRE"
b3182708,"b3182708,CA1 EA10 50T17 EXF"
b3235804,"b3235804,CA1 EA10 30T08 EXF"
sas_19750902FS,sas_19750902FS
b1851354E,"b1851354E,CA1 EA 79C12 ENG"
sas_19570227BES,sas_19570227BES
b4271828,"b4271828,CA1 EA10 2009T11 EXF"
sas_19580429BEP,sas_19580429BEP
sas_19891228EP,sas_19891228EP
b2304934,"b2304934,CA1 EA10 87T15 EXF"
b2293614E,"b2293614E,CA1 EA 88S7593 EXF"
sas_19951016AEP,sas_19951016AEP
b3136000F,"b3136000F,CA1 EA616 96S56 FRE"
sas_19920413FSt,sas_19920413FSt
b3328594,"b3328594,CA1 EA10 94T40 EXF"
sas_19931015AFP,sas_19931015AFP
b1557221E_022,b1557221E_022
b3197116F,"b3197116F,CA1 EA441 97C11 EXF"
b3766512,"b3766512,CA1 EA751 99C15 ENG"
sas_19830908BEP,sas_19830908BEP
sas_19910328BEP,sas_19910328BEP
sas_19840926AFP,sas_19840926AFP
sas_19540209ES,sas_19540209ES
sas_19851115BFP,sas_19851115BFP
sas_19940908AFP,sas_19940908AFP
b163964x,"b163964x,CA1 EA10 69T18 EXF"
b1603449E_021,b1603449E_021
sas_19771012BEP,sas_19771012BEP
b3090139,"b3090139,CA1 EA10 77T08 EXF"
sas_19730402BEP,sas_19730402BEP
sas_19820209ES,sas_19820209ES
sas_19540129CES,sas_19540129CES
b2192780E_004,b2192780E_004
sas_19850601ESt,sas_19850601ESt
sas_19710921FS,sas_19710921FS
b2878343,"b2878343,CA1 EA10 74T07 EXF"
sas_19900921AEP,sas_19900921AEP
b3684830E,"b3684830E,CA1 EA616 94P41 ENG"
b1635360,"b1635360,CA1 EA10 54T03 EXF"
sas_19940425FSt,sas_19940425FSt
b1941288E_007,b1941288E_007
b3713908E,"b3713908E,CA1 EA21 86T06 ENG"
b2490614F_015,b2490614F_015
b3138781,"b3138781,CA1 EA10 94T38 EXF"
sas_19841103FP,sas_19841103FP
b2490614F_043,b2490614F_043
sas_19950505AFP,sas_19950505AFP
sas_19901114AEP,sas_19901114AEP
b2636840E,"b2636840E,CA1 EA616 94O65 ENG"
b276488x,"b276488x,CA1 EA10 95T12 EXF"
b1847223E,"b1847223E,CA1 EA 79P28 EXF"
sas_19730105BFSt,sas_19730105BFSt
b3704853E,"b3704853E,CA1 EA21 85T04 ENG"
sas_19851204FS,sas_19851204FS
sas_19840511BEP,sas_19840511BEP
b1631020,"b1631020,CA1 EA10 43T06 FRE"
b229798x,"b229798x,CA1 EA722 90B30 FRE"
sas_19900622AEP,sas_19900622AEP
b4286376,"b4286376,CA1 EA10 2007T16 EXF"
sas_19950307FP,sas_19950307FP
sas_19820930FS,sas_19820930FS
b1576124,"b1576124,CA1 EA10 74T02 EXF"
b2465346Ev2,"b2465346Ev2,CA1 EA360 83C45 ENG"
b2167876F_004,b2167876F_004
b1642844,"b1642844,CA1 EA11 57P08 ENG"
b2619076E,"b2619076E,CA1 EA 87R21 ENG"
sas_19710329ES,sas_19710329ES
b3251962F,"b3251962F,CA1 EA612 97A52 FRE"
sas_19720605AESt,sas_19720605AESt
sas_19670311EP,sas_19670311EP
sas_19660824EP,sas_19660824EP
sas_19530105EP,sas_19530105EP
sas_19890713EP,sas_19890713EP
sas_19510906EP,sas_19510906EP
b3099672,"b3099672,CA1 EA10 77T25 EXF"
sas_19890615BEP,sas_19890615BEP
sas_19950505FSt,sas_19950505FSt
